title,company,rating,price
"1.  Minecraft","Mojang","90.11494636535645","US$6.99"
"2.  에버테일","ZigZaGame Inc.","94.08004760742188","US$0.99"
"3.  Bloons TD 6","ninja kiwi","93.03579330444336","US$4.99"
"4.  Geometry Dash","RobTop Games","95.13289451599121","US$1.99"
"5.  Stardew Valley","Chucklefish Limited","93.450927734375","US$7.99"
"6.  Grand Theft Auto: San Andreas","Rockstar Games","86.48908615112305","US$6.99"
"7.  Five Nights at Freddy's","Scott Cawthon","91.5302848815918","US$2.99"
"8.  Terraria.","505 Games Srl","85.39870262145996","US$4.99"
"9.  The Game of Life","Marmalade Game Studio","87.04761505126953","US$2.99"
"10.  NBA 2K19","2K, Inc.","76.91073417663574","US$7.99"
